text,font_size,x0,bold,distance_above,line_height,line_len,first_caps,all_caps,is_ending_with_fullstop,page_number,label
"Occitanie, and parts of Nouvelle-Aquitaine. This area is renowned for its diverse landscapes,",0.444956826,-1.076312685,0,0.170637888,0.441729129,1.089406355,1,0,1,2,0
International,-0.157392961,1.94808895,0,-0.188528409,-0.207575322,-0.771716444,1,0,1,3,0
wine tasting.,0.725910537,0.861576725,0,0.178411204,0.712246902,-0.693865519,0,0,0,7,0
limestone cliﬀs and coves along the coast.,0.444956826,1.11311035,0,0.171646935,0.441737383,-0.286577219,0,0,0,3,0
For each Ontario student it could mean:,0.015009781,-0.477562291,1,0.223299425,-0.081163077,-0.325936676,1,0,1,5,1
folk music performances. The music is characterized by lively rhythms and melodies that,0.0,0.125754265,0,0.125717542,-0.523115404,0.648579988,0,0,1,5,0
2.1 Intended Audience,2.318066391,-0.651291723,0,0.189326643,2.26135575,-0.245739298,0,0,1,7,1
Phase III: Operating and Growing the ODL,-0.283377744,-0.477170869,1,0.218852034,-0.303394875,-0.387381069,1,0,1,9,1
Goals:,1.058509008,-1.033217909,0,-7.1209841,2.254055785,-1.028129514,1,0,1,1,1
Autumn (September to November),0.725910537,-1.955116666,1,0.266742704,0.732414829,-0.011524269,1,0,1,3,1
Timeline and projected completion date,0.015009781,-0.131670963,0,0.111351809,-0.081171517,-0.497514117,1,0,1,8,0
Carcassonne: A Medieval Fortress,0.444956826,-1.076312685,1,-5.686899788,0.467697126,-0.473368593,1,0,1,13,1
Wine and Vineyards,0.0,0.125754265,1,0.205640778,1.911502266,-1.58677326,1,0,1,3,1
Culinary Traditions,0.0,0.125754265,1,0.454953294,1.911502266,-1.620050477,1,0,1,3,1
Strategic thinkers;,-0.283377744,-0.131326107,0,-0.003696383,-0.303394875,-1.141835039,1,0,1,12,0
"the South of France. Jazz manouche is characterized by its fast tempos, virtuosic guitar",0.0,0.125754265,0,0.125717997,-0.524663159,0.569753458,0,0,1,5,0
Literature and Poetry,0.0,0.125754265,1,0.205640778,1.911502266,-1.53487663,1,0,1,2,1
"The South of France is home to a diverse array of cities, each with its own unique history,",0.444956826,-1.076312685,0,0.254839672,0.441729129,1.001279911,1,0,1,14,0
small wooden ball called the cochonnet. Pétanque is more than just a game; it's a social,0.0,0.125754265,0,0.125717542,-0.523115404,0.624431937,0,0,1,3,0
"First Aid Kit: A small kit with band-aids, antiseptic wipes, and medications.",0.725910537,0.861576128,1,-0.006410864,0.732414829,1.096398698,1,0,0,7,0
RFP: Request f,5.816990108,-0.474558823,0,-0.319103492,6.017981733,-0.167206511,1,0,1,1,1
Cultural Highlights,0.444956826,-1.076312685,0,0.25446141,0.441737383,-0.938484402,1,0,1,13,1
museum.,0.444956826,1.113109422,0,0.171646294,0.441737383,-1.192262569,0,0,0,5,0
Acknowledgements,3.482988507,-0.651291723,0,0.363430495,3.423205422,-0.274832581,1,0,1,5,1
"detailing their history, key attractions, cultural highlights, and unique characteristics. Whether",0.444956826,-1.076311757,0,0.170637968,0.441720874,1.123711988,0,0,1,1,0
"Roman colony and has since evolved into a glamorous resort town. In the 19th century, Nice",0.444956826,-1.076312685,0,0.170637968,0.441720874,1.095066851,1,0,1,5,0
other important documents. Keep them separate from the originals.,0.725910537,0.861576128,0,0.178411546,0.712221243,0.894712835,0,0,0,2,0
depict Provençal life.,0.0,0.125754265,0,0.125717997,-0.524663159,-1.581781607,0,0,0,2,0
2.2 Career Paths for Testers,2.318066391,-0.651291723,0,0.279503633,2.26135575,-0.032746409,0,0,1,7,1
oposal,5.816990108,2.357040241,0,-0.319103492,5.970717527,-0.918187323,0,0,1,1,0
"Montpellier, founded in the 10th century, is known for its prestigious university and vibrant",0.444956826,-1.076312685,0,0.25446149,0.441729129,1.047829623,1,0,1,10,0
Overview,1.080336715,-0.627295253,0,0.015532081,1.026890214,-0.79746233,1,0,1,6,0
